id,district_code
school-40216,lga501d6d4da5d2
school-40220,lga834b76840988
school-40221,lgaaa6eb4f52653
school-40222,lgaaa6eb4f52653
school-40223,lga5c99cd452105
school-40224,lga5c99cd452105
school-40225,lga5c99cd452105
school-40226,lga5c99cd452105
school-40228,lgaa522f0db671c
school-40229,lgaa522f0db671c
school-40230,lgadc18daa4e36a
school-40231,lga2319b5472a93
school-40232,lgaae8336fce317
school-40233,lga3ec5fd5ac40a
school-40234,lgaf11c4f3e9ae0
school-40235,lgacc8be94156f0
school-40236,lgaed3a2c35aa46
school-40237,lgacbffb11990f2
school-40238,lgacbffb11990f2
school-40239,lga20efe678919a
school-40240,lgafe5600ae3561
school-40241,lgadc18daa4e36a
school-40242,lgaed3a2c35aa46
school-40243,lgafe5600ae3561
school-40244,lgaf11c4f3e9ae0
school-40245,lgaed3a2c35aa46
school-40247,lgab1d61c9cb781
school-40249,lgaa522f0db671c
school-40250,lga3ec5fd5ac40a
school-40251,lgacc8be94156f0
school-40252,lgaa33bbd294e17
school-40253,lgacc8be94156f0
school-40254,lgaabfc45eea6db
school-40255,lgaae8336fce317
school-40257,lgadc18daa4e36a
school-40259,lgab9c7be05c331
school-40260,lgaf11c4f3e9ae0
school-40261,lga11f7bab2f676
school-40262,lgaf11c4f3e9ae0
school-40263,lgaf11c4f3e9ae0
school-40264,lgaa33bbd294e17
school-40265,lgacbffb11990f2
school-40266,lgaf11c4f3e9ae0
school-40269,lgaf11c4f3e9ae0
school-40270,lgaae8336fce317
school-40271,lga834b76840988
school-40272,lgadc18daa4e36a
school-40273,lgaae8336fce317
school-40275,lgadaad9912738b
school-40276,lga695a89c7b19b
school-40277,lga03a912e8133a
school-40280,lga5e8f0b6a35b1
school-40281,lgad15a5a116e04
school-40284,lgaa3e251e1feba
school-40289,lga6cd8632bd9ac
school-40290,lga86925da5ab9b
school-40294,lga1542e1fe6ca8
school-40295,lgaf74ff9036145
school-40296,lgae7983979ea71
school-40299,lga2996272c7e21
school-40309,lga5fa4aba46d55
school-40314,lga28e246b3a0dd
school-40316,lgab4b3f2fe7f57
school-40318,lga99e9c6a53cea
school-40319,act-territory
school-40320,act-territory
school-40321,act-territory
school-40322,act-territory
school-40325,act-territory
school-40326,act-territory
school-40327,act-territory
school-40328,act-territory
school-40329,act-territory
school-40330,act-territory
school-40331,act-territory
school-40332,act-territory
school-40333,act-territory
school-40334,act-territory
school-40337,lga744170e79f38
school-40338,lga744170e79f38
school-40339,lga8fa0b5da0f3d
school-40341,lga64eddfc50074
school-40342,lga30955180d2fa
school-40343,lga8fa0b5da0f3d
school-40344,lga744170e79f38
school-40345,lga744170e79f38
school-40346,lga744170e79f38
school-40347,lga8fa0b5da0f3d
school-40348,lgaaf6116dc31d4
school-40349,lga10f7407af335
school-40350,lga744170e79f38
school-40351,lga512c4490dfd7
school-40352,lga744170e79f38
school-40353,lga744170e79f38
school-40354,act-territory
school-40356,lga1FSamwQfor7X
school-40357,lgaed9e730476c1
school-40366,lga4ab258f19347
school-40367,lga539121ae6aa1
school-40369,lga7aa37c79c7ff
school-40372,lga945cdd1aa041
school-40374,lga81c3e6b6c380
school-40375,lgac6194db78942
school-40378,lgaf081be0c5dd7
school-40381,lga539121ae6aa1
school-40383,lgae1e88444b382
school-40384,lga14af0b5e48b8
school-40387,lga977c9605ab7d
school-40388,lgaf711db11e308
school-40392,lga0930e8ebad68
school-40393,lgae1dcbacb8510
school-40395,lga744d9df35829
school-40396,lga0930e8ebad68
school-40400,lga0930e8ebad68
school-40402,lgaf711db11e308
school-40406,lgaf76bb579e827
school-40408,lga8f7ed7c51d73
school-40409,lga18e02c07dc3d
school-40410,lga695a89c7b19b
school-40412,lga575ae7e97596
school-40421,lga39b8f2c918bf
school-40422,lga9b9a22037920
school-40424,lga11baf8370c20
school-40427,lga224186279c28
school-40429,lga79b8fe15ee4f
school-40430,lga0930e8ebad68
school-40433,lga638d2708b9ab
school-40434,lgaf4d7671cd990
school-40436,lgab64f14d6026f
school-40437,lga3c104304a892
school-40438,lgaf1f1eef13783
school-40440,lga1bf4b9703dd4
school-40441,lga605d8cdb0eb8
school-40443,lgaf11c4f3e9ae0
school-40444,lgacbffb11990f2
school-40445,lgaae8336fce317
school-40446,lgaf74ff9036145
school-40447,lga0ea91c482c93
school-40448,lga249121dcca41
school-40450,lgadfe21f7497cb
school-40452,lgab9f1c7ce8f4c
school-40487,lga408360683989
school-40492,lgaa5101cb3dc0e
school-40493,lgaf06f63452dec
school-40494,lgaa5101cb3dc0e
school-40496,lga4ab258f19347
school-40499,lgaa5101cb3dc0e
school-40500,lga744170e79f38
school-40512,lga5c7223f40d56
school-40513,lgacf41226610f4
school-40519,lga0450031d71ce
school-40522,lgacf41226610f4
school-40523,lgacf41226610f4
school-40524,lga695a89c7b19b
school-40525,lga695a89c7b19b
school-40526,lga2e3aa047bd58
school-40528,lga945cdd1aa041
school-40530,lga945cdd1aa041
school-40532,lga945cdd1aa041
school-40533,lga376d180b8860
school-40543,lga81c3e6b6c380
school-40545,lga3b472eeffd4e
school-40552,lga1a08aa92f8c2
school-40559,lgaf6fd06a65e40
school-40560,lgae13aad3a393a
school-40562,lgaee4000c6a5c1
school-40569,lga098f9fe7f215
school-40573,lga521465c2ad4a
school-40576,lga575ae7e97596
school-40584,lga136d886cbd2c
school-40588,lga5e8f0b6a35b1
school-40589,lgad6bfe80090c5
school-40592,lga7bca70489d34
school-40596,lgad6bfe80090c5
school-40597,lgaac2e88625ea2
school-40599,lga8e9c9fb4128c
school-40600,lgadf64019486fb
school-40601,lgacd1b80b93aa1
school-40604,lga6797770d0f66
school-40611,lgab418fd9e27ef
school-40613,lgad2283997d8bb
school-40615,lgaa0f71a56be3f
school-40617,lgac6194db78942
school-40618,lga376d180b8860
school-40620,lga53f7b61b0ed6
school-40621,lgac69cfd288672
school-40622,lga0cd900c07cca
school-40623,lga891e1f62b45e
school-40624,lga14af0b5e48b8
school-40626,lga4449559268d6
school-40629,lgae6f7bd562b36
school-40630,lgaed3a2c35aa46
school-40632,lgaed3a2c35aa46
school-40633,lga20e7710cab71
school-40635,lga86925da5ab9b
school-40636,lgabaf7923db3cd
school-40637,lgaef8006a5824e
school-40638,lgacf41226610f4
school-40643,lga3476c1d9fd7f
school-40644,lgab64f14d6026f
school-40646,lgab64f14d6026f
school-40647,lga20e7710cab71
school-40648,lgaa5101cb3dc0e
school-40649,lga1bf4b9703dd4
school-40650,lgae1e88444b382
school-40651,lga695a89c7b19b
school-40652,lgaf1f1eef13783
school-40654,lga03a912e8133a
school-40658,lgab65bc8ec7820
school-40660,lga19ee0d725d8c
school-40670,lgadbd419ff24e3
school-40671,lga512c4490dfd7
school-40672,lgaeea486bb6672
school-40674,lgaf33b3dd90e12
school-40676,lga2e987509b39d
school-40680,lga744170e79f38
school-40681,lga2e3aa047bd58
school-40683,lgac82127f201d7
school-40684,lga3ae8a31b9e30
school-40685,lgaf74ff9036145
school-40686,lgadf64019486fb
school-40687,lgaf711db11e308
school-40688,lga12bb9336429b
school-40689,lgaf76bb579e827
school-40691,lgaee0b3901a073
school-40692,lgacbffb11990f2
school-40693,lga511d862349e9
school-40695,lgae1dcbacb8510
school-40697,lga4ab258f19347
school-40698,lga2513fbdd7033
