id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
nursery-01HGCR15637HPG2WA8WB0Z7TV9,nursery,Little Lion Early Learning PTY LTD,"339, 10 Broome St, Waterloo",2017,-33.8986261,151.2146385,lga605d8cdb0eb8,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40014236MQA5ADAAMAAyADEANgA1ADIAQgA="", ""provider_id"": ""PR-40016364"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCR0YYP8H8B6HVQS8498KNC,nursery,Paisley Park Early Learning Centre Randwick,"Level 1 130 Belmore Rd, Randwick",2031,-33.9162689,151.2401973,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40013418MQA5ADAAMAAyADEAMQA0ADIAQgA="", ""provider_id"": ""PR-40009237"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCR0W399C2F16PEDYHA2M4Y,nursery,"Moriah College Early Learning Centre, Queens Park Campus","101 York Road, Queens Park",2022,-33.9001613,151.2432596,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40013668MQA5ADAAMAAyADEANwA5ADcAQQA="", ""provider_id"": ""PR-00004791"", ""service_type"": [""Centre-Based Care"", ""LONGDC"", ""PSKSchool""], ""rating"": ""EXCD""}",true
nursery-01HGCR0QGT3Z57Y789PFX9139M,nursery,Reggio Emilia Early Learning Centre Pagewood,"Lot 2 130-150, Bunnerong Road, Pagewood",2035,-33.9425894,151.2271505,lga695a89c7b19b,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40012985MQA5ADAAMAAyADEAMQA4ADcAVAA="", ""provider_id"": ""PR-40015698"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCR057MQY3E4XGPCNKW656S,nursery,Randwick Creative Childcare,"1 Rae St, Randwick",2031,-33.9121118,151.2433861,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40010969MQA5ADAAMAAxADMAOQAzADYAWAA="", ""provider_id"": ""PR-40007129"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQZM523E8T5CPJJA46QM90,nursery,St Nic's Christian Preschool,"125 Brook Street, Coogee",2034,-33.9223018,151.2542815,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40009831MQA5ADAAMAAxADMAMQA0ADcAQwA="", ""provider_id"": ""PR-40010443"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQZGJSEG6T331TFY200ES2,nursery,Camp Australia - St Charles Catholic Primary School OSHC,"St Charles School, 53 - 63 Carrington Rd, Waverley",2024,-33.8991006,151.2533016,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40009576MQA5ADAAMAA2ADQAOQA2ADMASgA="", ""provider_id"": ""PR-00002539"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQZGFAHZMWSNKEZ5B27WSM,nursery,Roly Poly Child Care (Clovelly),"263 Clovelly Rd, Clovelly",2031,-33.9116182,151.2568091,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40009540MQA5ADAAMAAxADYAMgA2ADUAVAA="", ""provider_id"": ""PR-00003473"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""WORK""}",true
nursery-01HGCQYY9Z4Z8FM5DY0HY7EN9H,nursery,Sand and Stories Early Childhood Centre 2,"34 Moorina Avenue, Matraville",2036,-33.9660452,151.2293923,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40007910MQA5ADAAMAAxADYANQA2ADIAQgA="", ""provider_id"": ""PR-00006520"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQYRW4478GR3TP5PCFZZ7P,nursery,Emanuel OOSH,"20 Stanley Street, Randwick",2031,-33.907542,151.2432966,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40007690MQA5ADAAMAAxADUAMAA4ADcATAA="", ""provider_id"": ""PR-40002651"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHVacation""], ""rating"": ""MEET""}",true
